time,open,high,low,close,Volume,Volume MA
1690795440,383.52,383.52,383.5,383.5,600,726.2
1690795560,383.58,383.58,383.58,383.58,200,574.2
1690795620,383.58,383.58,383.58,383.58,100,539.2
1690795740,383.6,383.6,383.6,383.6,294,538.9
1690795800,383.54,383.54,383.54,383.54,100,491.4
1690795920,383.42,383.42,383.42,383.42,250,473.9
1690795980,383.29,383.29,383.29,383.29,200,471.4
1690796040,383.26,383.26,383.21,383.21,982,505.5
1690796100,383.33,383.36,383.33,383.36,591,485.05
1690796640,383.32,383.32,383.32,383.32,100,480.05
1690796700,383.23,383.23,383.12,383.12,691,499.6
1690796760,383.2,383.23,383.19,383.23,1541,536.65
1690796820,383.23,383.23,383.23,383.23,200,541.65
1690797360,383.23,383.23,383.23,383.23,100,536.65
1690797420,383.19,383.19,383.19,383.19,599,552.4
1690797480,383.21,383.21,383.21,383.21,100,517.4
1690797540,383.22,383.22,383.22,383.22,100,492.4
1690797600,383.24,383.24,383.24,383.24,500,502.4
1690797660,383.27,383.27,383.27,383.27,295,417.15
1690797720,383.29,383.29,383.29,383.29,300,392.15
1690797900,383.21,383.23,383.21,383.23,691,396.7
1690798020,383.17,383.17,383.17,383.17,500,411.7
1690798080,383.25,383.25,383.25,383.25,400,426.7
1690798200,383.32,383.32,383.23,383.24,3176,570.8
1690798500,383.24,383.24,383.24,383.24,250,578.3
1690798560,383.23,383.23,383.23,383.23,300,580.8
1690798680,383.28,383.28,383.26,383.26,2087,675.15
1690798740,383.3,383.3,383.3,383.3,300,641.05
1690798860,383.32,383.32,383.32,383.32,100,616.5
1690799040,383.42,383.42,383.42,383.42,180,620.5
1690799100,383.48,383.48,383.48,383.48,782,625.05
1690799160,383.48,383.48,383.48,383.48,150,555.5
1690799400,383.41,383.41,383.41,383.41,1600,625.5
1690799460,383.44,383.44,383.44,383.44,150,628
1690799520,383.52,383.52,383.52,383.52,300,613.05
1690799580,383.42,383.42,383.42,383.42,197,617.9
1690799700,383.44,383.44,383.41,383.41,950,660.4
1690799880,383.3,383.3,383.3,383.3,100,640.4
1690799940,383.3,383.3,383.3,383.3,800,665.65
1690800180,383.4,383.4,383.4,383.4,500,675.65
1690800420,383.29,383.29,383.28,383.28,2882,785.2
1690800480,383.35,383.35,383.35,383.35,391,779.75
1690800540,383.3,383.3,383.3,383.3,250,772.25
1690800600,383.32,383.4,383.32,383.4,600,643.45
1690800660,383.37,383.4,383.35,383.35,600,660.95
1690800720,383.36,383.36,383.36,383.36,130,652.45
1690800840,383.4,383.44,383.4,383.44,820,589.1
1690800900,383.46,383.46,383.46,383.46,100,579.1
1690801080,383.49,383.49,383.49,383.49,200,584.1
1690801140,383.51,383.51,383.51,383.51,390,594.6
1690801200,383.57,383.57,383.53,383.55,2976,704.3
1690801260,383.58,383.59,383.56,383.56,600,726.8
1690801320,383.56,383.62,383.56,383.62,356,664.6
1690801380,383.55,383.63,383.55,383.6,689,691.55
1690801440,383.71,383.71,383.63,383.63,1151,734.1
1690801500,383.68,383.71,383.63,383.71,7474,1097.95
1690801560,383.74,383.74,383.72,383.72,2627,1181.8
1690801620,383.74,383.76,383.74,383.76,500,1201.8
1690801680,383.75,383.78,383.7,383.73,6369,1480.25
1690801740,383.76,383.76,383.72,383.72,200,1465.25
1690801800,383.78,383.8,383.73,383.8,500,1346.15
1690801860,383.85,383.87,383.75,383.75,2200,1436.6
1690801920,383.83,383.83,383.83,383.83,125,1430.35
1690801980,383.79,383.79,383.79,383.79,130,1406.85
1690802040,383.83,383.83,383.74,383.79,7814,1767.55
1690802100,383.79,383.79,383.76,383.78,1400,1831.05
1690802160,383.83,383.83,383.76,383.76,710,1825.55
1690802220,383.63,383.68,383.63,383.65,2473,1944.2
1690802280,383.7,383.73,383.66,383.68,506,1959.5
1690802340,383.69,383.71,383.69,383.71,3100,2095
1690802400,383.71,383.71,383.63,383.63,2627,2077.55
1690802460,383.62,383.65,383.56,383.6,5918,2343.45
1690802520,383.58,383.61,383.58,383.61,525,2351.9
1690802580,383.67,383.69,383.65,383.65,1100,2372.45
1690802640,383.69,383.71,383.69,383.71,900,2359.9
1690802700,383.72,383.74,383.72,383.74,200,1996.2
1690802760,383.67,383.68,383.63,383.68,4198,2074.75
1690802820,383.69,383.7,383.69,383.69,423,2070.9
1690802880,383.69,383.74,383.69,383.74,300,1767.45
1690802940,383.78,383.78,383.78,383.78,330,1773.95
1690803000,383.78,383.78,383.78,383.78,100,1753.95
1690803060,383.83,383.83,383.83,383.83,100,1648.95
1690803120,383.81,383.82,383.8,383.8,330,1659.2
1690803180,383.83,383.85,383.81,383.81,4700,1887.7
1690803240,383.71,383.72,383.66,383.7,6456,1819.8
1690803300,383.69,383.69,383.64,383.68,1999,1849.75
1690803360,383.71,383.71,383.7,383.71,300,1829.25
1690803420,383.73,383.73,383.63,383.63,1600,1785.6
1690803480,383.64,383.66,383.6,383.66,7769,2148.75
1690803540,383.71,383.77,383.71,383.77,1892,2088.35
1690803600,383.75,383.79,383.75,383.77,400,1977
1690803660,383.73,383.74,383.73,383.74,787,1720.45
1690803720,383.71,383.76,383.71,383.76,600,1724.2
1690803780,383.79,383.79,383.79,383.79,191,1678.75
1690803840,383.79,383.81,383.79,383.81,200,1643.75
1690803900,383.83,383.83,383.82,383.82,200,1643.75
1690803960,383.75,383.88,383.75,383.88,1200,1493.85
1690804020,383.89,383.96,383.89,383.96,1550,1550.2
1690804080,383.94,383.94,383.87,383.88,3300,1700.2
1690804140,383.909,383.909,383.89,383.9,910,1729.2
1690804200,383.91,383.91,383.91,383.91,100,1729.2
1690804260,383.89,383.89,383.84,383.88,2006,1824.5
1690804380,383.89,383.9,383.85,383.9,700,1843
1690804440,383.91,383.98,383.91,383.98,3845,1800.25
1690804500,383.96,384.02,383.96,384,2100,1582.45
1690804560,384.02,384.05,384.01,384.05,800,1522.5
1690804620,384.07,384.09,384.06,384.09,2360,1625.5
1690804680,384.08,384.1,384.07,384.1,2569,1673.95
1690804740,384.1,384.1,384.09,384.09,1004,1335.7
1690804800,382.68,384.09,382.68,383.71,80479,5265.05
1690804860,382.57,384.2,382.57,384.19,4184,5454.25
1690804920,382.92,384.21,382.42,382.58,5072,5668.5
1690804980,384.15,384.15,383.37,384.13,1144,5695.7
1690805040,384.15,384.17,384.14,384.17,1216,5746.95
1690805100,384.17,384.2,384.17,384.17,3500,5911.95
1690805160,384.17,384.17,384.08,384.1,2838,6043.85
1690805220,384.12,384.16,383.48,384.12,1808,6074.25
1690805280,384.12,384.12,384.07,384.08,4221,6207.8
1690805340,384.091,384.091,384.05,384.05,1600,6122.8
1690805400,384.05,384.09,384.05,384.07,3900,6272.3
1690805460,384.15,384.15,384.14,384.14,1300,6332.3
1690805520,384.12,384.17,384.06,384.08,2993,6381.65
1690805580,384.11,384.15,384.11,384.15,12200,6956.65
1690805640,384.14,384.16,384.13,384.15,11843,7356.55
1690805700,384.12,384.14,384.11,384.11,1200,7311.55
1690805760,384.19,384.19,384.08,384.09,9851,7764.1
1690805820,384.08,384.08,384.03,384.06,10230,8157.6
1690805880,384.1,384.11,384.05,384.06,4660,8262.15
1690805940,384.03,384.05,384.01,384.03,6422,8533.05
1690806000,384.01,384.01,383.98,383.99,8420,4930.1
1690806060,383.97,383.97,383.89,383.89,18564,5649.1
1690806120,383.9,383.94,383.88,383.94,2747,5532.85
1690806180,383.91,383.99,383.91,383.93,2808,5616.05
1690806240,383.91,383.9399,383.91,383.9399,400,5575.25
1690806300,383.94,383.95,383.92,383.94,1747,5487.6
1690806360,383.98,384,383.97,384,771,5384.25
1690806420,384.01,384.02,383.99,384.02,848,5336.25
1690806480,384.02,384.11,384.01,384.08,1430,5196.7
1690806540,384.1,384.14,384.1,384.14,621,5147.75
1690806600,384.16,384.2,384.1,384.1,1369,5021.2
1690806660,384.05,384.1191,384,384.1191,11530,5532.7
1690806720,384.1,384.1,384.02,384.07,32400,7003.05
1690806780,384.081,384.21,384.07,384.17,28078,7796.95
1690806840,384.19,384.25,384.19,384.25,6160,7512.8
1690806900,384.27,384.34,384.26,384.34,6987,7802.15
1690806960,384.3,384.3,384.2,384.28,7650,7692.1
1690807020,384.26,384.29,384.26,384.29,900,7225.6
1690807080,384.27,384.36,384.27,384.35,2450,7115.1
1690807140,384.34,384.34,384.29,384.3,36975,8642.75
1690807200,384.35,384.37,384.31,384.35,5640,8503.75
1690807260,384.37,384.41,384.37,384.4,2355,7693.3
1690807320,384.39,384.39,384.36,384.36,13300,8220.95
1690807380,384.4,384.4,384.36,384.37,1430,8152.05
1690807440,384.4,384.45,384.4,384.4401,3992,8331.65
1690807500,384.46,384.49,384.43,384.44,5895,8539.05
1690807560,384.46,384.49,384.46,384.48,1600,8580.5
1690807620,384.47,384.5,384.47,384.5,1124,8594.3
1690807680,384.5,384.58,384.49,384.58,9533,8999.45
1690807740,384.6,384.629,384.57,384.58,2595,9098.15
1690807800,384.54,384.57,384.51,384.54,11488,9604.1
1690807860,384.54,384.5699,384.54,384.54,1000,9077.6
1690807920,384.54,384.54,384.53,384.53,10318,7973.5
1690807980,384.49,384.53,384.48,384.51,2392,6689.2
1690808040,384.54,384.6,384.54,384.6,13362,7049.3
1690808100,384.6,384.6,384.57,384.58,1250,6762.45
1690808160,384.55,384.551,384.54,384.54,1400,6449.95
1690808220,384.52,384.52,384.5,384.52,3155,6562.7
1690808280,384.55,384.55,384.43,384.43,1300,6505.2
1690808340,384.42,384.48,384.4,384.4,14950,5403.95
1690808400,384.42,384.43,384.35,384.35,2563,5250.1
1690808460,384.35,384.35,384.25,384.25,5993,5432
1690808520,384.3,384.3,384.23,384.23,1520,4843
1690808580,384.27,384.28,384.2,384.27,5376,5040.3
1690808640,384.28,384.31,384.27,384.3,10696,5375.5
1690808700,384.24,384.26,384.18,384.21,14162,5788.85
1690808760,384.22,384.31,384.21,384.22,9134,6165.55
1690808820,384.22,384.23,384.081,384.081,7104,6464.55
1690808880,384.11,384.14,384.09,384.14,1100,6042.9
1690808940,384.13,384.13,384.07,384.09,1655,5995.9
1690809000,384.07,384.12,384.06,384.12,2500,5546.5
1690809060,384.1,384.14,384.1,384.12,1830,5588
1690809120,384.09,384.09,384.06,384.06,360,5090.1
1690809180,384.04,384.05,383.96,383.96,3208,5130.9
1690809240,383.95,383.97,383.94,383.96,2110,4568.3
1690809300,383.97,383.98,383.93,383.93,4678,4739.7
1690809360,383.9399,384.03,383.9399,383.97,3488,4844.1
1690809420,383.93,383.98,383.85,383.85,2305,4801.6
1690809480,383.9,383.9,383.8,383.81,8267,5149.95
1690809540,383.83,383.83,383.74,383.76,4143,4609.6
1690809600,383.75,383.76,383.71,383.73,3816,4672.25
1690809660,383.74,383.74,383.7,383.71,1411,4443.15
1690809720,383.68,383.8,383.68,383.8,2606,4497.45
1690809780,383.81,383.85,383.81,383.84,4714,4464.35
1690809840,383.8401,383.87,383.8401,383.87,1673,4013.2
1690809900,383.84,383.99,383.81,383.9601,29062,4758.2
1690809960,383.99,383.99,383.85,383.85,1042,4353.6
1690810020,383.87,383.89,383.75,383.79,7759,4386.35
1690810080,383.75,383.78,383.7,383.7504,6690,4665.85
1690810140,383.81,383.81,383.69,383.79,20900,5628.1
1690810200,383.8,384.31,383.78,383.959,400958,25551
1690810260,383.96,384.195,383.811,384.165,185905,34754.75
1690810320,384.16,384.54,384.08,384.52,186570,44065.25
1690810380,384.5201,384.58,383.84,383.85,218672,54838.45
1690810440,383.8601,383.92,383.45,383.58,349114,72188.65
1690810500,383.56,384.06,383.49,383.97,154630,79686.25
1690810560,383.91,384.0201,383.55,383.74,145908,86807.25
1690810620,383.74,384.04,383.73,384.0299,97671,91575.55
1690810680,383.99,384.33,383.98,384.2,97353,96029.85
1690810740,384.1904,384.36,384.12,384.17,116073,101626.35
1690810800,384.2,384.41,384.06,384.33,102994,106585.25
1690810860,384.3199,384.41,383.99,384.13,217091,117369.25
1690810920,384.11,384.42,383.95,384.34,94514,121964.65
1690810980,384.38,384.54,384.31,384.44,98840,126670.95
1690811040,384.41,384.67,384.37,384.39,97200,131447.3
1690811100,384.43,384.845,384.43,384.84,111602,135574.3
1690811160,384.8496,384.88,384.64,384.73,149038,142974.1
1690811220,384.74,384.76,384.43,384.59,174084,151290.35
1690811280,384.58,384.6,384.025,384.03,236478,162779.75
1690811340,384.04,384.1988,383.87,383.96,179227,170696.1
1690811400,383.99,384.13,383.97,384.015,101502,155723.3
1690811460,384.01,384.19,383.98,384.1201,72249,150040.5
1690811520,384.12,384.25,384.0099,384.0099,99581,145691.05
1690811580,384,384.06,383.53,383.65,159925,142753.7
1690811640,383.66,383.75,383.52,383.55,184150,134505.5
1690811700,383.555,383.59,382.72,382.74,417288,147638.4
1690811760,382.77,383.07,382.72,382.73,252491,152967.55
1690811820,382.74,382.75,382.49,382.63,273773,161772.65
1690811880,382.63,382.81,382.49,382.57,209119,167360.95
1690811940,382.56,383.03,382.52,383.03,180412,170577.9
1690812000,383.0299,383.04,382.67,382.68,149686,172912.5
1690812060,382.68,382.84,382.54,382.77,89835,166549.7
1690812120,382.78,382.85,382.6669,382.6799,78621,165755.05
1690812180,382.68,382.85,382.52,382.61,130291,167327.6
1690812240,382.63,382.93,382.63,382.92,91960,167065.6
1690812300,382.91,383.19,382.91,383.06,165336,169752.3
1690812360,383.09,383.25,382.98,383.245,87964,166698.6
1690812420,383.24,383.5,383.24,383.45,122555,164122.15
1690812480,383.45,383.615,383.44,383.5593,90653,156830.9
1690812540,383.5507,383.59,383.38,383.59,161096,155924.35
1690812600,383.59,383.61,383.4,383.45,83700,155034.25
1690812660,383.44,383.74,383.345,383.74,80179,155430.75
1690812720,383.745,383.78,383.6,383.6514,58215,153362.45
1690812780,383.645,383.7,383.59,383.64,57594,148245.9
1690812840,383.64,383.81,383.63,383.78,63425,142209.65
1690812900,383.779,383.9,383.61,383.65,92173,125953.9
1690812960,383.66,383.81,383.64,383.81,97801,118219.4
1690813020,383.799,383.82,383.501,383.655,136087,111335.1
1690813080,383.655,383.765,383.44,383.55,155483,108653.3
1690813140,383.55,383.59,383.37,383.48,142446,106755
1690813200,383.47,383.8099,383.4513,383.8099,85289,103535.15
1690813260,383.78,383.807,383.63,383.64,79220,103004.4
1690813320,383.63,383.695,383.43,383.57,105009,104323.8
1690813380,383.58,383.79,383.445,383.78,50019,100310.2
1690813440,383.77,383.77,383.55,383.68,60889,98756.65
1690813500,383.665,383.71,383.53,383.66,78129,94396.3
1690813560,383.64,383.74,383.56,383.6,64071,93201.65
1690813620,383.615,383.8592,383.57,383.8301,68268,90487.3
1690813680,383.82,383.8385,383.699,383.73,66009,89255.1
1690813740,383.73,383.805,383.62,383.805,84639,85432.25
1690813800,383.8,384.01,383.695,383.775,131048,87799.65
1690813860,383.76,383.76,383.4,383.57,123318,89956.6
1690813920,383.55,383.67,383.28,383.386,121402,93115.95
1690813980,383.385,383.4272,383.1304,383.27,112947,95883.6
1690814040,383.25,383.3,383.16,383.26,84845,96954.6
1690814100,383.25,383.26,383.02,383.2,92012,96946.55
1690814160,383.21,383.275,383.075,383.22,109333,97523.15
1690814220,383.215,383.39,383.12,383.335,88202,95128.9
1690814280,383.34,383.58,383.265,383.55,53178,90013.65
1690814340,383.55,383.67,383.53,383.6,65031,86142.9
1690814400,383.6,383.73,383.4402,383.48,75291,85643
1690814460,383.475,383.5,383.36,383.43,49588,84161.4
1690814520,383.45,383.625,383.37,383.38,39499,80885.9
1690814580,383.39,383.6,383.38,383.59,70028,81886.35
1690814640,383.585,383.65,383.48,383.5007,65132,82098.5
1690814700,383.49,383.6407,383.4804,383.585,24547,79419.4
1690814760,383.58,383.59,383.2,383.36,170128,84722.25
1690814820,383.3583,383.365,383.238,383.29,51877,83902.7
1690814880,383.2994,383.565,383.29,383.5609,44850,82844.75
1690814940,383.56,383.895,383.56,383.88,123173,84771.45
1690815000,383.875,383.92,383.81,383.815,103825,83410.3
1690815060,383.8597,384.03,383.835,383.8999,82013,81345.05
1690815120,383.86,384.02,383.85,383.885,77410,79145.45
1690815180,383.88,383.94,383.82,383.89,35437,75269.95
1690815240,383.9,383.99,383.87,383.87,25793,72317.35
1690815300,383.885,384.025,383.885,383.99,43956,69914.55
1690815360,384,384.12,383.98,384.1,76276,68261.7
1690815420,384.0999,384.0999,383.926,384,54026,66552.9
1690815480,383.98,384.045,383.96,383.9999,42145,66001.25
1690815540,383.99,383.99,383.76,383.8001,106594,68079.4
1690815600,383.8023,383.94,383.75,383.9215,53294,66979.55
1690815660,383.93,383.988,383.83,383.83,53619,67181.1
1690815720,383.835,384.02,383.835,383.8873,35426,66977.45
1690815780,383.88,384.16,383.86,384.1101,40307,65491.4
1690815840,384.13,384.2399,384.11,384.14,48210,64645.3
1690815900,384.15,384.16,383.99,384.138,53008,66068.35
1690815960,384.12,384.24,384.1,384.225,32668,59195.35
1690816020,384.225,384.24,384.0901,384.2,35292,58366.1
1690816080,384.206,384.206,384.1,384.14,31816,57714.4
1690816140,384.14,384.205,384.085,384.1,14428,52277.15
1690816200,384.1,384.1765,383.94,384.165,36186,48895.2
1690816260,384.1701,384.26,384.13,384.21,32525,46420.8
1690816320,384.2,384.24,384.075,384.16,39265,44513.55
1690816380,384.15,384.2399,384.06,384.06,30605,44271.95
1690816440,384.071,384.12,384.03,384.0801,31631,44563.85
1690816500,384.0805,384.115,383.86,383.91,73190,46025.55
1690816560,383.9088,383.92,383.81,383.82,44192,44421.35
1690816620,383.82,383.85,383.73,383.81,74738,45456.95
1690816680,383.8,383.84,383.71,383.76,63160,46507.7
1690816740,383.77,383.95,383.77,383.939,63662,44361.1
